exclosure,nuphar_treatment,treatment_code,plot_num,coll_day,coll_month,coll_yr,coll_timestamp,grazed_stem_count,surviving
0,TF,TFHA,3,27,6,2022,6/27/2022,44,1
0,TF,TFHA,7,27,6,2022,6/27/2022,39,1
0,TF,TFHA,3,18,7,2022,7/18/2022,37,1
0,TF,TFHA,1,27,6,2022,6/27/2022,30,1
0,TF,TFHA,10,29,6,2022,6/29/2022,30,1
0,TF,TFHA,1,18,7,2022,7/18/2022,30,1
0,TF,TFHA,4,27,6,2022,6/27/2022,28,1
0,TF,TFHA,5,27,6,2022,6/27/2022,27,1
0,TF,TFHA,9,29,6,2022,6/29/2022,23,1
0,TF,TFHA,4,3,6,2022,6/3/2022,23,1
0,TF,TFHA,6,27,6,2022,6/27/2022,22,1
0,TF,TFHA,3,3,6,2022,6/3/2022,21,1
0,TF,TFHA,9,3,6,2022,6/3/2022,17,1
0,TF,TFHA,7,15,7,2022,7/15/2022,15,1
0,TF,TFHA,8,27,6,2022,6/27/2022,14,1
0,TF,TFHA,10,15,7,2022,7/15/2022,14,1
0,TF,TFHA,10,3,6,2022,6/3/2022,13,1
0,TF,TFHA,6,15,7,2022,7/15/2022,13,1
0,TF,TFHA,6,3,6,2022,6/3/2022,12,1
0,TF,TFHA,5,18,7,2022,7/18/2022,12,1
0,TF,TFHA,2,3,6,2022,6/3/2022,11,1
0,TF,TFHA,9,15,7,2022,7/15/2022,5,1
0,TF,TFHA,8,3,6,2022,6/3/2022,4,1
0,NU,NUHA,9,3,6,2022,6/3/2022,3,1
1,CN,CNNA,10,3,6,2022,6/3/2022,2,1
0,TF,TFHA,4,18,7,2022,7/18/2022,2,1
0,TF,TFHA,5,3,6,2022,6/3/2022,1,1
0,TF,TFHA,8,15,7,2022,7/15/2022,1,1
1,CN,CNNA,2,27,6,2022,6/27/2022,0,1
1,CN,CNNA,4,27,6,2022,6/27/2022,0,1
1,CN,CNNA,5,27,6,2022,6/27/2022,0,1
1,CN,CNNA,3,27,6,2022,6/27/2022,0,1
1,CN,CNNA,1,27,6,2022,6/27/2022,0,1
1,CN,CNNA,6,27,6,2022,6/27/2022,0,1
1,NU,NUNA,1,27,6,2022,6/27/2022,0,0
1,NU,NUNA,5,27,6,2022,6/27/2022,0,0
1,NU,NUNA,6,27,6,2022,6/27/2022,0,0
1,NU,NUNA,4,27,6,2022,6/27/2022,0,1
1,NU,NUNA,3,27,6,2022,6/27/2022,0,1
1,NU,NUNA,2,27,6,2022,6/27/2022,0,1
0,NU,NUHA,3,27,6,2022,6/27/2022,0,0
0,NU,NUHA,1,27,6,2022,6/27/2022,0,0
0,NU,NUHA,5,27,6,2022,6/27/2022,0,0
0,NU,NUHA,6,27,6,2022,6/27/2022,0,0
0,NU,NUHA,4,27,6,2022,6/27/2022,0,1
1,TF,TFNA,7,27,6,2022,6/27/2022,0,1
1,TF,TFNA,4,27,6,2022,6/27/2022,0,1
1,TF,TFNA,8,27,6,2022,6/27/2022,0,1
1,TF,TFNA,5,27,6,2022,6/27/2022,0,1
1,TF,TFNA,1,27,6,2022,6/27/2022,0,1
1,TF,TFNA,6,27,6,2022,6/27/2022,0,1
1,TF,TFNA,2,27,6,2022,6/27/2022,0,1
1,TF,TFNA,3,27,6,2022,6/27/2022,0,1
1,CN,CNNA,8,29,6,2022,6/29/2022,0,1
1,CN,CNNA,10,29,6,2022,6/29/2022,0,1
1,CN,CNNA,9,29,6,2022,6/29/2022,0,1
1,CN,CNNA,7,29,6,2022,6/29/2022,0,1
1,NU,NUNA,8,29,6,2022,6/29/2022,0,0
1,NU,NUNA,7,29,6,2022,6/29/2022,0,1
1,NU,NUNA,10,29,6,2022,6/29/2022,0,1
1,NU,NUNA,9,29,6,2022,6/29/2022,0,1
0,NU,NUHA,10,29,6,2022,6/29/2022,0,0
0,NU,NUHA,8,29,6,2022,6/29/2022,0,0
0,NU,NUHA,9,29,6,2022,6/29/2022,0,1
0,NU,NUHA,7,29,6,2022,6/29/2022,0,1
1,TF,TFNA,10,29,6,2022,6/29/2022,0,1
1,TF,TFNA,9,29,6,2022,6/29/2022,0,1
1,CN,CNNA,2,3,6,2022,6/3/2022,0,1
1,CN,CNNA,4,3,6,2022,6/3/2022,0,1
1,CN,CNNA,9,3,6,2022,6/3/2022,0,1
1,CN,CNNA,5,3,6,2022,6/3/2022,0,1
1,CN,CNNA,8,3,6,2022,6/3/2022,0,1
1,CN,CNNA,1,3,6,2022,6/3/2022,0,1
1,CN,CNNA,6,3,6,2022,6/3/2022,0,1
1,CN,CNNA,3,3,6,2022,6/3/2022,0,1
1,CN,CNNA,7,3,6,2022,6/3/2022,0,1
1,NU,NUNA,1,3,6,2022,6/3/2022,0,0
1,NU,NUNA,5,3,6,2022,6/3/2022,0,0
1,NU,NUNA,6,3,6,2022,6/3/2022,0,1
1,NU,NUNA,7,3,6,2022,6/3/2022,0,1
1,NU,NUNA,4,3,6,2022,6/3/2022,0,1
1,NU,NUNA,2,3,6,2022,6/3/2022,0,1
1,NU,NUNA,3,3,6,2022,6/3/2022,0,1
1,NU,NUNA,10,3,6,2022,6/3/2022,0,1
1,NU,NUNA,9,3,6,2022,6/3/2022,0,1
0,NU,NUHA,5,3,6,2022,6/3/2022,0,0
0,NU,NUHA,4,3,6,2022,6/3/2022,0,1
0,NU,NUHA,1,3,6,2022,6/3/2022,0,1
0,NU,NUHA,6,3,6,2022,6/3/2022,0,1
0,NU,NUHA,3,3,6,2022,6/3/2022,0,1
0,NU,NUHA,7,3,6,2022,6/3/2022,0,1
1,TF,TFNA,10,3,6,2022,6/3/2022,0,1
1,TF,TFNA,4,3,6,2022,6/3/2022,0,1
1,TF,TFNA,8,3,6,2022,6/3/2022,0,1
1,TF,TFNA,9,3,6,2022,6/3/2022,0,1
1,TF,TFNA,7,3,6,2022,6/3/2022,0,1
1,TF,TFNA,2,3,6,2022,6/3/2022,0,1
1,TF,TFNA,6,3,6,2022,6/3/2022,0,1
1,TF,TFNA,5,3,6,2022,6/3/2022,0,1
1,TF,TFNA,1,3,6,2022,6/3/2022,0,1
1,TF,TFNA,3,3,6,2022,6/3/2022,0,1
0,TF,TFHA,1,3,6,2022,6/3/2022,0,1
0,TF,TFHA,7,3,6,2022,6/3/2022,0,1
1,CN,CNNA,10,15,7,2022,7/15/2022,0,1
1,CN,CNNA,4,15,7,2022,7/15/2022,0,1
1,CN,CNNA,5,15,7,2022,7/15/2022,0,1
1,CN,CNNA,8,15,7,2022,7/15/2022,0,1
1,CN,CNNA,6,15,7,2022,7/15/2022,0,1
1,CN,CNNA,9,15,7,2022,7/15/2022,0,1
1,NU,NUNA,6,15,7,2022,7/15/2022,0,0
1,NU,NUNA,8,15,7,2022,7/15/2022,0,0
1,NU,NUNA,7,15,7,2022,7/15/2022,0,1
1,NU,NUNA,10,15,7,2022,7/15/2022,0,1
1,NU,NUNA,9,15,7,2022,7/15/2022,0,1
0,NU,NUHA,6,15,7,2022,7/15/2022,0,0
0,NU,NUHA,8,15,7,2022,7/15/2022,0,0
0,NU,NUHA,10,15,7,2022,7/15/2022,0,0
0,NU,NUHA,9,15,7,2022,7/15/2022,0,1
0,NU,NUHA,7,15,7,2022,7/15/2022,0,1
1,TF,TFNA,7,15,7,2022,7/15/2022,0,1
1,TF,TFNA,10,15,7,2022,7/15/2022,0,1
1,TF,TFNA,9,15,7,2022,7/15/2022,0,1
1,TF,TFNA,6,15,7,2022,7/15/2022,0,1
1,TF,TFNA,8,15,7,2022,7/15/2022,0,1
1,CN,CNNA,2,18,7,2022,7/18/2022,0,1
1,CN,CNNA,7,18,7,2022,7/18/2022,0,1
1,CN,CNNA,1,18,7,2022,7/18/2022,0,1
1,CN,CNNA,3,18,7,2022,7/18/2022,0,1
1,NU,NUNA,1,18,7,2022,7/18/2022,0,0
1,NU,NUNA,5,18,7,2022,7/18/2022,0,0
1,NU,NUNA,3,18,7,2022,7/18/2022,0,1
1,NU,NUNA,4,18,7,2022,7/18/2022,0,1
1,NU,NUNA,2,18,7,2022,7/18/2022,0,1
1,NU,NUHA,1,18,7,2022,7/18/2022,0,0
0,NU,NUHA,3,18,7,2022,7/18/2022,0,0
0,NU,NUHA,5,18,7,2022,7/18/2022,0,0
0,NU,NUHA,4,18,7,2022,7/18/2022,0,1
1,TF,TFNA,4,18,7,2022,7/18/2022,0,1
1,TF,TFNA,5,18,7,2022,7/18/2022,0,1
1,TF,TFNA,1,18,7,2022,7/18/2022,0,1
1,TF,TFNA,2,18,7,2022,7/18/2022,0,1
1,TF,TFNA,3,18,7,2022,7/18/2022,0,1